"year","borough","neighborhood_u_h_f","sex","race_ethnicity","total_number_of_hiv_diagnoses","hiv_diagnoses_per_100_000_population","total_number_of_concurrent_hiv_aids_diagnoses","proportion_of_concurrent_hiv_aids_diagnoses_among_all_hiv_diagnoses","total_number_of_aids_diagnoses","aids_diagnoses_per_100_000_population","uhf_label"
2016,"Manhattan","Central Harlem -
Morningside Heights","All","Latino/Hispanic",21,54.5,3,14.3,7,18.2,302
2016,"Manhattan","Central Harlem -
Morningside Heights","All","Other/Unknown",2,53.7,0,0,0,0,302
2016,"Manhattan","Central Harlem -
Morningside Heights","All","White",10,35,1,10,5,17.5,302
2016,"Manhattan","Central Harlem -
Morningside Heights","Female","All",8,9.3,1,12.5,12,14,302
2016,"Manhattan","Central Harlem -
Morningside Heights","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,302
2016,"Manhattan","Central Harlem -
Morningside Heights","Female","Black",7,16.4,1,14.3,10,23.5,302
2016,"Manhattan","Central Harlem -
Morningside Heights","Female","Latino/Hispanic",0,0,0,NA,2,9.5,302
2016,"Manhattan","Central Harlem -
Morningside Heights","Female","Other/Unknown",0,0,0,NA,0,0,302
2016,"Manhattan","Central Harlem -
Morningside Heights","Female","White",1,6.9,0,0,0,0,302
2016,"Manhattan","Central Harlem -
Morningside Heights","Male","All",73,101.9,15,20.5,39,54.4,302
2016,"Manhattan","Central Harlem -
Morningside Heights","Male","Asian/Pacific
Islander",2,48.2,0,0,1,24.1,302
2016,"Manhattan","Central Harlem -
Morningside Heights","Male","Black",39,113.9,11,28.2,28,81.8,302
2016,"Manhattan","Central Harlem -
Morningside Heights","Male","Latino/Hispanic",21,119.7,3,14.3,5,28.5,302
2016,"Manhattan","Central Harlem -
Morningside Heights","Male","Other/Unknown",2,128.5,0,0,0,0,302
2016,"Manhattan","Central Harlem -
Morningside Heights","Male","White",9,63.6,1,11.1,5,35.3,302
2016,"Manhattan","Chelsea - Clinton","All","All",81,53.8,7,8.6,37,24.6,306
2016,"Manhattan","Chelsea - Clinton","All","Asian/Pacific
Islander",7,26.6,1,14.3,1,3.8,306
2016,"Manhattan","Chelsea - Clinton","All","Black",10,127.8,1,10,11,140.6,306
2016,"Manhattan","Chelsea - Clinton","All","Latino/Hispanic",27,118.4,2,7.4,13,57,306
2016,"Manhattan","Chelsea - Clinton","All","Other/Unknown",1,35.8,0,0,0,0,306
2016,"Manhattan","Chelsea - Clinton","All","White",36,39.6,3,8.3,12,13.2,306
2016,"Manhattan","Chelsea - Clinton","Female","All",2,2.7,0,0,0,0,306
2016,"Manhattan","Chelsea - Clinton","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,306
2016,"Manhattan","Chelsea - Clinton","Female","Black",1,27.8,0,0,0,0,306
2016,"Manhattan","Chelsea - Clinton","Female","Latino/Hispanic",1,9,0,0,0,0,306
2016,"Manhattan","Chelsea - Clinton","Female","Other/Unknown",0,0,0,NA,0,0,306
2016,"Manhattan","Chelsea - Clinton","Female","White",0,0,0,NA,0,0,306
2016,"Manhattan","Chelsea - Clinton","Male","All",79,101.9,7,8.9,37,47.7,306
2016,"Manhattan","Chelsea - Clinton","Male","Asian/Pacific
Islander",7,59.6,1,14.3,1,8.5,306
2016,"Manhattan","Chelsea - Clinton","Male","Black",9,213.3,1,11.1,11,260.7,306
2016,"Manhattan","Chelsea - Clinton","Male","Latino/Hispanic",26,222.5,2,7.7,13,111.2,306
2016,"Manhattan","Chelsea - Clinton","Male","Other/Unknown",1,74.8,0,0,0,0,306
2016,"Manhattan","Chelsea - Clinton","Male","White",36,74.2,3,8.3,12,24.7,306
2016,"Manhattan","East Harlem","All","All",51,53,8,15.7,40,41.6,303
2016,"Manhattan","East Harlem","All","Asian/Pacific
Islander",2,25.9,1,50,2,25.9,303
2016,"Manhattan","East Harlem","All","Black",21,71.6,3,14.3,18,61.4,303
2016,"Manhattan","East Harlem","All","Latino/Hispanic",23,52.9,2,8.7,14,32.2,303
2016,"Manhattan","East Harlem","All","Other/Unknown",1,87.6,1,100,1,87.6,303
2016,"Manhattan","East Harlem","All","White",4,27.3,1,25,5,34.2,303
2016,"Manhattan","East Harlem","Female","All",7,13.7,1,14.3,3,5.9,303
2016,"Manhattan","East Harlem","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,303
2016,"Manhattan","East Harlem","Female","Black",4,24.5,0,0,1,6.1,303
2016,"Manhattan","East Harlem","Female","Latino/Hispanic",3,13.1,1,33.3,2,8.8,303
